""
0,"[-0.01714331162302858, 0.2814372575507501]","[-0.020981562993359515, 0.2824319138498544]","[-0.01693778999596047, 0.32816963994989407]","[-0.014494169760927628, 0.2808416098652239]","[-0.017350258901833632, 0.2465579675733175]","[0.015659480370878248, 0.30492021390191604]","[0.01338030423096956, 0.3074463076024215]","[0.015781513835565662, 0.36187094880151055]","[0.018936976041533684, 0.3028242200838613]","[0.015550512958385046, 0.26355302520356916]",[2.8192996978759766e-05],[0.0002167224884033203],"[0.5899332165718079, 0.4242611527442932]","[757, 826]"
1,"[-0.01644130437820717, 0.2794071087186758]","[-0.020139534087495935, 0.2799909634481371]","[-0.016301547771559146, 0.3244054260603745]","[-0.013876393831808371, 0.2792189083819381]","[-0.01656899737144335, 0.2456820312771302]","[0.014530131412300478, 0.306723967252679]","[0.01249520844819379, 0.3088577376235931]","[0.014633925693898667, 0.36273735275807956]","[0.017410877055609595, 0.30497994028066366]","[0.01443763401752464, 0.2656882264835427]",[0.00012499094009399414],[0.00016188621520996094],"[0.5884070992469788, 0.4245607256889343]","[757, 826]"
2,"[-0.004081315548014577, 0.2844855560865929]","[-0.0049234158121207565, 0.28411907725770014]","[-0.004081996111412346, 0.33471343048727403]","[-0.003478703874668056, 0.2852415485901611]","[-0.004077264646597407, 0.24758690366816638]","[0.004535972016512778, 0.28951399175362574]","[0.0038071065989847717, 0.29044849237610787]","[0.004540653899587007, 0.3419800263187424]","[0.005628161295266933, 0.2889952704165868]","[0.0045344002016129035, 0.2511657750036262]",[0.0007660984992980957],[0.00012224912643432617],"[0.6119869351387024, 0.42104053497314453]","[757, 826]"
3,"[-0.00677138019211903, 0.29462784748446824]","[-0.00819899016594105, 0.29329466670824367]","[-0.006783450888598118, 0.34756677391222945]","[-0.005755847392170017, 0.2965646552358371]","[-0.0067483637121324, 0.2559546162903135]","[0.007297666034437506, 0.2944882470485425]","[0.006196133999215826, 0.29316708837437394]","[0.007298949208872907, 0.34880745520256756]","[0.00889954811523439, 0.29622965173042964]","[0.0072991570894510496, 0.2548038921173366]",[0.0006476640701293945],[-7.75456428527832e-05],"[0.6111244559288025, 0.42306607961654663]","[757, 826]"
4,"[-0.008005303399401429, 0.2955923936722832]","[-0.00966574913688828, 0.2939498525431331]","[-0.008012955953868398, 0.34780818027470845]","[-0.006821644525815004, 0.29781079936403737]","[-0.007987340475187558, 0.25728497188171373]","[0.00876189524689662, 0.2974746878190639]","[0.007465767709916191, 0.296044207266559]","[0.008764215617692323, 0.3523902015314363]","[0.010628740927469751, 0.29927089662049633]","[0.0087641937216594, 0.2573414525507585]",[0.0006808638572692871],[-4.696846008300781e-05],"[0.6121234893798828, 0.4234975278377533]","[757, 826]"
5,"[-0.007639994737295787, 0.29666929493820066]","[-0.009214106227592254, 0.2951405694544119]","[-0.0076564247588044336, 0.3497310154419426]","[-0.006512736867447048, 0.2987689927239142]","[-0.00761262411764307, 0.25785413633966564]","[0.008409803113724608, 0.298397818761157]","[0.00717772433318877, 0.2970927347067919]","[0.008411168273313022, 0.35297662067204655]","[0.010178886064778576, 0.3000714801842223]","[0.008413511079579874, 0.25840015342745987]",[0.0006693005561828613],[-4.9114227294921875e-05],"[0.612985372543335, 0.42312490940093994]","[757, 826]"
6,"[-0.008211009856414563, 0.29742566919828145]","[-0.009883221446941618, 0.29585267610943183]","[-0.008215379474197402, 0.35027561705449484]","[-0.007012397344110065, 0.2995578086080301]","[-0.008197048902530655, 0.2587082352050652]","[0.009001547385870888, 0.29738267654653644]","[0.007667559978082004, 0.2960874808048882]","[0.009004392753837702, 0.3526528261961256]","[0.010922355948450315, 0.2990760389005053]","[0.00900278919038231, 0.25711016632450506]",[0.0006657838821411133],[-5.120038986206055e-05],"[0.6128527522087097, 0.42337316274642944]","[757, 826]"
7,"[-0.008391250625232678, 0.2969632529080998]","[-0.010121686139571274, 0.2954786688678426]","[-0.00840355355492731, 0.35030035480557387]","[-0.007152243106183751, 0.29902571822504853]","[-0.008366552463453263, 0.25801480290911033]","[0.00913971272345528, 0.2982339577951554]","[0.007814901276781298, 0.2968309532139119]","[0.009137337363975165, 0.3524068418242654]","[0.011030780501279019, 0.2999913901638974]","[0.009146709586991457, 0.2584256137929777]",[0.000672459602355957],[-6.35385513305664e-05],"[0.6135526299476624, 0.4224967956542969]","[757, 826]"
8,"[-0.008909454047566573, 0.2951563822235238]","[-0.010739367310588228, 0.29341047385546903]","[-0.008926834737995912, 0.34747336025969855]","[-0.007596750981969157, 0.2975015416631171]","[-0.008877601295342388, 0.2568685289474839]","[0.009766453820896605, 0.2971533881624676]","[0.008310281763501012, 0.295720236226317]","[0.009757073628263249, 0.35240939714095754]","[0.011860621732514249, 0.2989798596712509]","[0.009777616251746675, 0.256872261137599]",[0.0006549954414367676],[-6.270408630371094e-05],"[0.614334762096405, 0.4215252697467804]","[757, 826]"
9,"[-0.008381363469052284, 0.29493704449274505]","[-0.01007607906946063, 0.2934896193158976]","[-0.00837980207117803, 0.3471315832372821]","[-0.007161862787617362, 0.2968801250197538]","[-0.0083729216152019, 0.25662601154630515]","[0.009234687258726162, 0.2950399782222517]","[0.007858933641745386, 0.29344744277750395]","[0.009223093963100077, 0.3499205065724363]","[0.011211626328054756, 0.2970294977228632]","[0.009248362426824792, 0.2550516691868695]",[0.0006697773933410645],[-5.459785461425781e-05],"[0.6148523688316345, 0.4208606481552124]","[757, 826]"
