,468,469,470,471,472,473,474,475,476,477,head_rotation_hor,head_rotation_ver,head_pos,looking_pos
0,"[-0.006136195749023311, 0.35711871770220627]","[-0.007506315039786032, 0.35925193209723405]","[-0.0060854975588148326, 0.42233301601906215]","[-0.005184139075830299, 0.3547345105876819]","[-0.006195155668903817, 0.3088629173409202]","[0.004807821399056634, 0.3671110586802099]","[0.00410614885280087, 0.37038041016276363]","[0.004845613900041134, 0.4374511759793421]","[0.005791675082535413, 0.3641490270456543]","[0.004767407323258321, 0.3162275130574361]",[-0.003107786178588867],[0.00041347742080688477],"[0.5392665863037109, 0.38461682200431824]","[157, 894]"
1,"[-0.04863515177337849, 0.3722821467817852]","[-0.061137847651604064, 0.3782477362233018]","[-0.04713846887275248, 0.4401616388682603]","[-0.04038877184857853, 0.3666588419980949]","[-0.05023631194795151, 0.32261888159279395]","[0.03236035814436568, 0.4217681684546316]","[0.028272026283295757, 0.42936165736074994]","[0.03289150295777751, 0.5049503005117465]","[0.037854712666661385, 0.41476843886150966]","[0.03188126467415608, 0.3621595127470994]",[-0.0030971169471740723],[8.726119995117188e-05],"[0.5544769763946533, 0.4542940557003021]","[157, 894]"
2,"[-0.013501410425061026, 0.38649169656661053]","[-0.01663129510936829, 0.3902163528734492]","[-0.013334033497394503, 0.4636367378539605]","[-0.011346687976526656, 0.3830921919197708]","[-0.013675433669740234, 0.33057257132013207]","[0.011118396248678582, 0.41249259385424103]","[0.009519552767983297, 0.41783735986746484]","[0.01124136214124031, 0.4977814479525692]","[0.013370918525752284, 0.4076715708513627]","[0.011004355703190824, 0.3518928193427806]",[-0.0017199516296386719],[0.0008821487426757812],"[0.5931305289268494, 0.45718222856521606]","[157, 894]"
3,"[-0.0188719139592437, 0.3951449068418494]","[-0.023496280562217243, 0.39838301043936625]","[-0.01874060642706186, 0.4748091541726705]","[-0.015724705945032245, 0.3924451626397821]","[-0.01898384914662946, 0.3377432649930669]","[0.014075813099995556, 0.4242515914177526]","[0.012129921344421021, 0.43015750225627075]","[0.014263097112399663, 0.51332828330768]","[0.016775476143726684, 0.41893686580623146]","[0.01389822345890411, 0.36136438179316077]",[-0.0020285844802856445],[0.00092315673828125],"[0.5887291431427002, 0.4589011073112488]","[157, 894]"
4,"[-0.00723051993094857, 0.40181846191005544]","[-0.009153390583894161, 0.4040137146484952]","[-0.00718669704066728, 0.4876605758167136]","[-0.005963759734388262, 0.40013323459895156]","[-0.007261891338088408, 0.34145047574796467]","[0.005587901262541829, 0.4230065400043447]","[0.0048130360875362314, 0.4267764530024593]","[0.005643149358441283, 0.5108146007990667]","[0.006655739431520465, 0.4196686973742494]","[0.005533588185233731, 0.36066423807483455]",[-0.002275824546813965],[0.000995635986328125],"[0.5965363383293152, 0.45882928371429443]","[157, 894]"
5,"[-0.01027266661997112, 0.39532596526917385]","[-0.0130046297001219, 0.39759072326924105]","[-0.010266056998375898, 0.47982817359368474]","[-0.00846540332301844, 0.39353031183045817]","[-0.010260137357725789, 0.33577292034265327]","[0.007860057999697929, 0.4163866024465931]","[0.006758171991160081, 0.42164796116710995]","[0.007950588566418997, 0.502748007860062]","[0.009397187218867509, 0.4118017353489213]","[0.0077719236548140745, 0.3552115314099837]",[-0.0022656917572021484],[0.0009669661521911621],"[0.5953895449638367, 0.4582234025001526]","[157, 894]"
6,"[-0.006660282476092319, 0.4013887051504371]","[-0.008333007043509661, 0.40319127005048944]","[-0.006690203814750443, 0.48900921631552396]","[-0.005530505847541215, 0.39992789624469105]","[-0.006621216237984916, 0.33967299382090366]","[0.00525409994804602, 0.4196427169658977]","[0.00451149212761818, 0.4244651447685329]","[0.005316308415832241, 0.5087049553189632]","[0.006290931783098499, 0.4154501007948869]","[0.005194234654445363, 0.35682484171652834]",[-0.0019257068634033203],[0.0008313655853271484],"[0.5980868935585022, 0.4582926332950592]","[157, 894]"
7,"[-0.00712948183244034, 0.4004446971504963]","[-0.008949153192316374, 0.4021479605355817]","[-0.007145580992065646, 0.4870874976074037]","[-0.005906983914779742, 0.399180424204167]","[-0.007102055608849887, 0.33932979789678586]","[0.005625706055283512, 0.4197383154098109]","[0.004832558222714177, 0.42467095345603484]","[0.005692268803029816, 0.5087238675037521]","[0.006732736237509507, 0.41545246807719377]","[0.005561693991734776, 0.35698099261852967]",[-0.0018537044525146484],[0.0008440613746643066],"[0.5978617668151855, 0.4583003520965576]","[157, 894]"
8,"[-0.010602058443738988, 0.40020718215605594]","[-0.01327199684505675, 0.40202037881624586]","[-0.010593191025413973, 0.48519278440063834]","[-0.008799124253690603, 0.39914972091018036]","[-0.01058990893197008, 0.339972952992884]","[0.008377158981928314, 0.42160889656549]","[0.00718451476080551, 0.42661222509620395]","[0.008474806096436513, 0.5111069092836945]","[0.010049880221835724, 0.4171485735325204]","[0.0082829459754484, 0.35864649304496404]",[-0.0020668506622314453],[0.0007761120796203613],"[0.5953627824783325, 0.4599987864494324]","[157, 894]"
9,"[-0.008384553257313384, 0.40105895333448893]","[-0.01043088495627969, 0.4027779200011431]","[-0.00839774460573446, 0.48398435879202717]","[-0.006988417197667523, 0.399751971828689]","[-0.008359777527553144, 0.34164178594968186]","[0.006709858068700183, 0.42507970217712293]","[0.005771071713928211, 0.43011717135754746]","[0.006785831405603269, 0.5147026019985691]","[0.00801487036519675, 0.42062342748585]","[0.006636584429001819, 0.36183273585492964]",[-0.0018925070762634277],[0.0007121562957763672],"[0.5957345366477966, 0.4601424038410187]","[157, 894]"
