,468,469,470,471,472,473,474,475,476,477,head_rotation_hor,head_rotation_ver,head_pos,looking_pos
0,"[-0.043018809086384856, 0.3694613668983035]","[-0.05147270899156418, 0.36671104353801526]","[-0.04326313040633781, 0.4411852285687864]","[-0.03691331574054025, 0.373181545354659]","[-0.042747815013303214, 0.3181906704318237]","[0.05277614213140964, 0.3182014231422693]","[0.044649363522785396, 0.31254372885619724]","[0.05215119928652781, 0.36681950289355114]","[0.06472750361661951, 0.324702056587696]","[0.05346887506982957, 0.2811113101396945]",[0.0002346038818359375],[8.174777030944824e-05],"[0.49399927258491516, 0.440376877784729]","[818, 82]"
1,"[-0.01921074629087067, 0.3584063069828351]","[-0.023413506345661868, 0.3584949410292849]","[-0.01922105480717326, 0.42768953838645374]","[-0.01626065042601704, 0.35898137913318634]","[-0.01917928505276857, 0.30867011314563436]","[0.020274941078734787, 0.3328105330150149]","[0.017009810938355588, 0.3289914098601572]","[0.020167180406542556, 0.39109352630856425]","[0.025185915971531855, 0.3371712713392887]","[0.020392896349020858, 0.2897084003915322]",[0.00038483738899230957],[-0.00019210577011108398],"[0.4767444133758545, 0.430558443069458]","[818, 82]"
2,"[-0.026725795500042046, 0.37143020507363883]","[-0.03254898693898171, 0.3721558819378433]","[-0.02680170017488844, 0.44438503992629536]","[-0.02265138464205991, 0.37137515985266567]","[-0.02663288693221436, 0.31898109784728057]","[0.029877664212888684, 0.34558627104735734]","[0.02515391830163026, 0.3412598313707418]","[0.029707433581033338, 0.40626009888180886]","[0.03680246143316868, 0.35021041496218364]","[0.03006865452245075, 0.30072121259082213]",[0.00016707181930541992],[-0.0002409517765045166],"[0.4787195324897766, 0.4316161274909973]","[818, 82]"
3,"[-0.02271737467376102, 0.3651319329240948]","[-0.02754719087283869, 0.36651931930209747]","[-0.02272870909418314, 0.43598562303012894]","[-0.019302383099164405, 0.36418252361362097]","[-0.02268312998763254, 0.3140911449814469]","[0.02445641030547916, 0.33990502031587977]","[0.020519048066866066, 0.33625253349595535]","[0.02433938316354675, 0.39976836487995754]","[0.03032327197199462, 0.34400329743980496]","[0.02458589785342969, 0.29576396262224836]",[0.0003712773323059082],[-0.0003345310688018799],"[0.47625941038131714, 0.43152493238449097]","[818, 82]"
4,"[-0.02208333109445668, 0.36976567715236003]","[-0.02692856628037977, 0.3708604939968389]","[-0.02212974790895468, 0.44295434318941046]","[-0.018694151933497657, 0.36920427052593363]","[-0.022017372001788695, 0.3172868241469816]","[0.02442303477364464, 0.34425439419841874]","[0.020424545938492203, 0.34057200954543776]","[0.02428739827238164, 0.40604846424379487]","[0.030416140445277982, 0.3482972353873735]","[0.02457704179894645, 0.2989089302860317]",[0.0004907548427581787],[-0.000268399715423584],"[0.47684338688850403, 0.4323330521583557]","[818, 82]"
5,"[-0.02066904097654552, 0.3685940935906854]","[-0.02506325630460873, 0.37056040757803144]","[-0.02063999274795753, 0.44042954146528435]","[-0.01755642438386921, 0.36716365848398047]","[-0.020672390187187684, 0.31690351245751686]","[0.023017555387769673, 0.3465475757737074]","[0.01924108991176399, 0.3423147084305743]","[0.022860023405953143, 0.40999568865901076]","[0.02866661799569743, 0.3511172784106732]","[0.023193177087515036, 0.3002521900848123]",[0.0005370676517486572],[-0.00017213821411132812],"[0.47580263018608093, 0.432949036359787]","[818, 82]"
6,"[-0.023312352745939867, 0.3739057052573691]","[-0.028397820742532536, 0.37529819139447557]","[-0.023342695867515306, 0.4476042546175497]","[-0.01974705713993826, 0.3731116565089312]","[-0.023258352871985515, 0.3209759446152241]","[0.025988028828821237, 0.35188350437999066]","[0.02186711807974971, 0.34743496904155197]","[0.025839649428366494, 0.41549669555896634]","[0.032025019066244984, 0.35656522527626106]","[0.026147834167529943, 0.30519595994026166]",[0.0002976953983306885],[-0.00019761919975280762],"[0.4759628474712372, 0.4334738850593567]","[818, 82]"
7,"[-0.0205534740123964, 0.3701000731290501]","[-0.024840224822707944, 0.37256578931213735]","[-0.02049743871965079, 0.4420921758295294]","[-0.01749365099158281, 0.3682557411967669]","[-0.02058000332974182, 0.31827705399954775]","[0.023052809106976786, 0.3488337820408182]","[0.019302823783765948, 0.34479206529416095]","[0.022914369196428416, 0.412817994329838]","[0.028633565102845263, 0.3530988654388931]","[0.023208542472358932, 0.3020480764445329]",[0.0005706548690795898],[-0.00024580955505371094],"[0.47550418972969055, 0.43319159746170044]","[818, 82]"
8,"[-0.020874235579985877, 0.37117370551233886]","[-0.025388185326917327, 0.3733162642588672]","[-0.020866930358193196, 0.44496692721534514]","[-0.01769499077096694, 0.3696518456884611]","[-0.020860389483047775, 0.3183064384058395]","[0.023361410504500066, 0.3517143953165666]","[0.019668985439158036, 0.34761986777930365]","[0.023236339043711217, 0.4145836178718676]","[0.02876653471061471, 0.3560006532124221]","[0.023498378904158297, 0.30543953224532666]",[0.0004520714282989502],[-0.0002682805061340332],"[0.4752604067325592, 0.4328281879425049]","[818, 82]"
9,"[-0.0194002715686935, 0.3693051984496768]","[-0.02348808373171662, 0.37177624702797524]","[-0.01933798156575967, 0.4402609344432828]","[-0.01649388865747843, 0.3674032214769641]","[-0.019437595862541037, 0.31799657672107595]","[0.021407308985405275, 0.35026515511856604]","[0.017940057368171516, 0.3462233239976385]","[0.021254525160882096, 0.4140907544919898]","[0.026552103142668773, 0.3546649926776586]","[0.02157208790969171, 0.3036080406645302]",[0.000443190336227417],[-0.0002854764461517334],"[0.47372356057167053, 0.4332013428211212]","[818, 82]"
